Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Continent,Reliability*
Australia,4.466763851597166,1.3010299956639813,2.9585638832219674,,4.419575781062139,Australia/Oceania,0
Fiji,1.8260748027008264,,0.3010299956639812,,1.806179973983887,Australia/Oceania,1
French Polynesia,4.26979304386123,,2.1492191126553797,,3.685024785105714,Australia/Oceania,1
Marshall Islands,0.6020599913279624,,,,0.6020599913279624,Australia/Oceania,0
Micronesia,0.0,,,,0.0,Australia/Oceania,0
New Caledonia,2.0827853703164503,,,,1.7634279935629373,Australia/Oceania,0
New Zealand,3.397070549959409,0.3010299956639812,1.414973347970818,,3.378216149749878,Australia/Oceania,0
Papua New Guinea,3.749736315569061,2.432969290874406,1.7481880270062005,0.8450980400142568,2.9273703630390235,Australia/Oceania,0
Samoa,0.47712125471966244,,,,0.3010299956639812,Australia/Oceania,0
Solomon Islands,1.2787536009528289,0.0,,,1.255272505103306,Australia/Oceania,0
Vanuatu,0.47712125471966244,,,,0.0,Australia/Oceania,0
Wallis and Futuna,2.593286067020457,0.8450980400142568,0.6020599913279624,,1.6434526764861874,Australia/Oceania,0
