Country,AllCase,NewCase,AllDeath,NewDeath,AllRecovered,Continent,Reliability*
Afghanistan,37269,107,1344,16,26415,Asia,1
Albania,6676,140,205,5,3480,Europe,1
Algeria,36204,492,1322,10,25263,Africa,1
Andorra,963,,52,,839,Europe,1
Angola,1679,,78,,569,Africa,1
Anguilla,3,,,,3,North America,0
Antigua and Barbuda,92,,3,,76,North America,1
Argentina,253868,,4785,21,181389,South America,1
Armenia,40593,160,803,7,33157,Asia,1
Aruba,630,,3,,114,North America,1
Australia,21713,316,331,18,12144,Australia/Oceania,1
Austria,22245,139,723,,20123,Europe,1
Azerbaijan,33731,84,495,3,30856,Asia,1
Bahamas,945,,15,,113,North America,1
Bahrain,44397,,165,2,41209,Asia,1
Bangladesh,263503,2996,3471,33,151972,Asia,1
Barbados,143,1,7,,112,North America,1
Belarus,69005,58,592,3,65219,Europe,1
Belgium,74620,468,9879,7,17792,Europe,1
Belize,177,23,2,,32,North America,1
Benin,2001,65,38,,1681,Africa,1
Bermuda,159,1,9,,144,North America,1
Bhutan,113,3,,,97,Asia,0
Bolivia,91635,1636,3712,72,30823,South America,1
Bosnia and Herzegovina,14708,210,447,22,8411,Europe,1
Botswana,1066,,2,,80,Africa,1
Brazil,3068138,10668,102034,177,2163812,South America,1
British Virgin Islands,9,,1,,7,North America,1
Brunei,142,,3,,138,Asia,0
Bulgaria,13512,,459,,7980,Europe,1
Burkina Faso,1204,,54,,984,Africa,1
Burundi,408,,1,,315,Africa,1
Cabo Verde,2883,,32,,2128,Africa,1
Cambodia,266,15,,,220,Asia,0
Cameroon,18042,,395,,15320,Africa,1
Canada,120256,124,8988,1,106524,North America,0
Caribbean Netherlands,13,,,,7,North America,0
Cayman Islands,203,,1,,202,North America,1
Central African Republic,4641,,60,,1721,Africa,1
Chad,945,,76,,843,Africa,1
Channel Islands,599,,47,,545,Europe,1
Chile,376616,1572,10178,39,349541,South America,1
China,84712,44,4634,,79284,Asia,1
Colombia,397623,,13154,,221485,South America,1
Comoros,399,,7,,369,Africa,1
Costa Rica,23872,,244,,7823,North America,1
Croatia,5740,91,160,2,4962,Europe,1
Cuba,3046,,88,,2460,North America,1
Curaçao,32,,1,,30,North America,1
Cyprus,1252,,19,,870,Asia,1
Czechia,18678,184,391,1,13214,Europe,1
DR Congo,9499,10,225,1,8375,Africa,1
Denmark,14959,144,621,1,12988,Europe,1
Djibouti,5347,,59,,5120,Africa,1
Dominica,18,,,,18,North America,0
Dominican Republic,81094,595,1346,18,45666,North America,1
Ecuador,94701,,5932,,78608,South America,1
